time_sec,theta_kalman,theta_dot_kalman,x_pivot_m
7.073172,0.00644768999242229,-0.011102580516472435,0.071456
7.098176,-0.006161462461821882,-0.01097908480317528,0.071456
7.123179,-0.016221113330665775,-0.010609851222878402,0.071456
7.148187,-0.028527142537529658,-0.009938225526208898,0.071456
7.173191,-0.039189567444603876,-0.009005065727646273,0.071456
7.198191,-0.04792332428536514,-0.007858224679299405,0.071456
7.223197,-0.05605964850715165,-0.006511984364360686,0.071456
7.248201,-0.062144566016780575,-0.005017019820266734,0.071456
7.273208,-0.0669842787808113,-0.0034036632339194683,0.071456
7.298212,-0.06998476295116253,-0.0017170919477530328,0.071456
7.323217,-0.07094274839819031,-7.542565949342217e-06,0.071456
7.348223,-0.07092612449255291,0.0017015845221778209,0.071456
7.373231,-0.069644440130143,0.0033795935251033082,0.071456
7.398234,-0.06480808301579759,0.0049382618106741105,0.071456
7.423238,-0.058076840526034026,0.006330979629254774,0.071456
7.448244,-0.0510861169163472,0.0075521082899399905,0.071456
7.473248,-0.04281259777843764,0.008570198707046957,0.071456
7.498252,-0.03502635574623397,0.009398131864993858,0.071456
7.52326,-0.024232624114286134,0.009960892232511578,0.071456
7.548265,-0.013540056783108594,0.01026137572291132,0.071456
7.573271,-0.0031577726738175015,0.010307565144449641,0.071456
7.598271,0.0068007233109958504,0.010110133739924738,0.071456
7.623271,0.015951094557903316,0.00968925428373226,0.071456
7.648279,0.02473270477231653,0.0090539232800692,0.071456
7.673286,0.03310847950734447,0.00821393313104021,0.071456
7.69829,0.0403746064650349,0.007196624482766201,0.071456
7.723297,0.04633500270135778,0.006034151052593202,0.071456
7.748297,0.050506654654021335,0.004770706626289832,0.071456
7.7733,0.05351383671394092,0.003434741660732779,0.071456
7.798308,0.05460330195180007,0.0020735798438505856,0.071456
7.823315,0.05445220572199213,0.0007175211477242205,0.071456
7.848319,0.053101208884351006,-0.0006041524976791723,0.071456
7.873327,0.05018996540092739,-0.0018530868139665646,0.071456
7.898334,0.04566891444031976,-0.002989636837564341,0.071456
7.923334,0.040062590870963595,-0.003987261225474027,0.071456
7.948341,0.03420402873696794,-0.004840253953358013,0.071456
7.973344,0.028102286590788353,-0.0055430452769090685,0.071456
7.998352,0.021234820525933788,-0.006076846187257963,0.071456
8.023357,0.014249933955003213,-0.00643904422802484,0.071456
