xAccl,yAccl,zAccl,newPosition,time,pcTime
-317,-10,997,0,19773479,19868.327140808105
-317,-10,997,0,19798483,19893.338203430176
-317,-10,997,0,19823486,19918.330192565918
-317,-10,997,0,19848490,19943.28498840332
-317,-10,997,0,19873493,19968.194007873535
-317,-10,997,0,19898497,19993.271112442017
-317,-10,997,0,19923501,20018.298149108887
-317,-10,997,0,19948502,20043.256044387817
-317,-10,997,0,19973505,20068.255186080933
-317,-10,997,0,19998512,20093.242168426514
-317,-10,997,0,20023515,20118.417263031006
-317,-10,997,0,20048516,20143.428087234497
-317,-10,997,0,20073520,20168.267011642456
-317,-10,997,0,20098527,20193.310260772705
-317,-10,997,0,20123530,20218.290328979492
-317,-10,997,0,20148534,20243.3762550354
-317,-10,997,0,20173537,20268.272161483765
-317,-10,997,0,20198541,20293.424129486084
-317,-10,997,0,20223545,20318.363189697266
-317,-10,997,0,20248548,20343.419075012207
-317,-10,997,0,20273552,20368.359327316284
-317,-10,997,0,20298556,20393.444061279297
-317,-10,997,0,20323559,20418.41197013855
-317,-10,997,0,20348563,20443.38035583496
-317,-10,997,0,20373567,20468.414306640625
-317,-10,997,0,20398570,20493.428230285645
-317,-10,997,0,20423574,20518.362283706665
-317,-10,997,0,20448578,20543.30611228943
-317,-10,997,0,20473581,20568.368196487427
-317,-10,997,0,20498585,20593.36495399475
-317,-10,997,0,20523589,20618.333339691162
-317,-10,997,0,20548593,20643.437147140503
-317,-10,997,0,20573596,20668.484210968018
-317,-10,997,0,20598600,20693.289279937744
-317,-10,997,0,20623603,20718.324184417725
-317,-10,997,0,20648607,20743.284940719604
-317,-10,997,0,20673611,20768.30530166626
-317,-10,997,0,20698612,20793.434143066406
-317,-10,997,0,20723615,20818.308115005493
-317,-10,997,0,20748622,20843.385219573975
-317,-10,997,0,20773625,20868.353128433228
-317,-10,997,0,20798626,20893.42212677002
-317,-10,997,0,20823630,20918.292999267578
-317,-10,997,0,20848637,20943.434953689575
-317,-10,997,0,20873640,20968.34111213684
-317,-10,997,0,20898644,20993.388175964355
-317,-10,997,0,20923647,21018.36633682251
-317,-10,997,0,20948651,21043.36404800415
-317,-10,997,0,20973655,21068.336248397827
-317,-10,997,0,20998658,21093.337059020996
-317,-10,997,0,21023662,21118.467092514038
-317,-10,997,0,21048666,21143.46694946289
-317,-10,997,0,21073669,21168.346166610718
-317,-10,997,0,21098673,21193.389177322388
-317,-10,997,0,21123677,21218.31512451172
-317,-10,997,0,21148680,21243.328094482422
-317,-10,997,0,21173684,21268.335103988647
-317,-10,997,0,21198688,21293.323040008545
-317,-10,997,0,21223691,21318.339109420776
-317,-10,997,0,21248695,21343.367338180542
-317,-10,997,0,21273699,21368.333101272583
-317,-10,997,0,21298700,21393.42212677002
-317,-10,997,0,21323704,21418.317079544067
-317,-10,997,0,21348711,21443.369388580322
-317,-10,997,0,21373714,21468.371152877808
-317,-10,997,0,21398722,21493.34216117859
-317,-10,997,0,21423725,21518.260955810547
-317,-10,997,0,21448733,21543.334245681763
-317,-10,997,0,21473736,21568.265199661255
-317,-10,997,0,21498743,21593.343019485474
-317,-10,997,0,21523747,21618.27301979065
-317,-10,997,0,21548754,21643.344163894653
-317,-10,997,0,21573758,21668.32423210144
-317,-10,997,0,21598765,21693.339109420776
-317,-10,997,0,21623769,21718.38116645813
-317,-10,997,0,21648777,21743.316173553467
-317,-10,997,0,21673780,21768.330097198486
-317,-10,997,0,21698788,21793.378114700317
-317,-10,997,0,21723792,21818.321228027344
-317,-10,997,0,21748796,21843.379259109497
-317,-10,997,0,21773800,21868.329286575317
-317,-10,997,0,21798805,21893.428325653076
-317,-10,997,0,21823805,21918.43819618225
-317,-10,997,0,21848807,21943.42303276062
-317,-10,997,0,21873816,21968.375205993652
-317,-10,997,0,21898822,21993.324041366577
-317,-10,997,0,21923829,22018.339157104492
-317,-10,997,0,21948833,22043.357133865356
-317,-10,997,0,21973840,22068.310022354126
-317,-10,997,0,21998845,22093.326091766357
-317,-10,997,0,22023851,22118.35217475891
-317,-10,997,0,22048859,22143.37921142578
-317,-10,997,0,22073866,22168.34306716919
-317,-10,997,0,22098870,22193.467140197754
-317,-10,997,0,22123873,22218.319177627563
-317,-10,997,0,22148877,22243.32904815674
-317,-10,997,0,22173884,22268.328189849854
-317,-10,997,0,22198888,22293.437242507935
-317,-10,997,0,22223895,22318.387269973755
-317,-10,997,0,22248902,22343.164205551147
-317,-10,997,0,22273903,22368.25704574585
-317,-10,997,0,22298912,22393.240213394165
-317,-10,997,0,22323913,22418.3292388916
-317,-10,997,0,22348917,22443.270206451416
-317,-10,997,0,22373924,22468.27006340027
-317,-10,997,0,22398928,22493.28923225403
-317,-10,997,0,22423936,22518.367290496826
-317,-10,997,0,22448944,22543.424129486084
-317,-10,997,0,22473951,22568.339347839355
-317,-10,997,0,22498954,22593.412160873413
-317,-10,997,0,22523961,22618.348121643066
-317,-10,997,0,22548968,22643.433332443237
-317,-10,997,0,22573973,22668.362140655518
-317,-10,997,0,22598979,22693.315029144287
-317,-10,997,0,22623984,22718.372106552124
-317,-10,997,0,22648994,22743.426084518433
-317,-10,997,0,22673999,22768.396139144897
-317,-10,997,0,22699003,22793.47825050354
-317,-10,997,0,22724010,22818.411111831665
-317,-10,997,0,22749017,22843.553066253662
-317,-10,997,0,22774021,22868.357181549072
-317,-10,997,0,22799025,22893.440008163452
-317,-10,997,0,22824026,22918.358087539673
-317,-10,997,0,22849037,22943.439245224
-317,-10,997,0,22874042,22968.314170837402
-317,-10,997,0,22899048,22993.438243865967
-317,-10,997,0,22924052,23018.394231796265
-317,-10,997,0,22949056,23043.472290039062
-317,-10,997,0,22974061,23068.4552192688
-317,-10,997,0,22999063,23093.528032302856
-317,-10,997,0,23024069,23118.44515800476
-317,-10,997,0,23049070,23143.36609840393
-317,-10,997,0,23074072,23168.453216552734
-317,-10,997,0,23099079,23193.416357040405
-317,-10,997,0,23124083,23218.389987945557
-317,-10,997,0,23149090,23243.388175964355
-317,-10,997,0,23174098,23268.40114593506
-317,-10,997,0,23199105,23293.479204177856
-317,-10,997,0,23224113,23318.41015815735
-317,-10,997,0,23249120,23343.40500831604
-317,-10,997,0,23274120,23368.414163589478
-317,-10,997,0,23299127,23393.39804649353
-317,-10,997,0,23324128,23418.375253677368
-317,-10,997,0,23349134,23443.45498085022
-317,-10,997,0,23374142,23468.536138534546
-317,-10,997,0,23399149,23493.353366851807
-317,-10,997,0,23424149,23518.36919784546
-317,-10,997,0,23449153,23543.445110321045
-317,-10,997,0,23474160,23568.39394569397
-317,-10,997,0,23499165,23593.385219573975
-317,-10,997,0,23524172,23618.369102478027
-317,-10,997,0,23549175,23643.409252166748
-317,-10,997,0,23574183,23668.406009674072
-317,-10,997,0,23599189,23693.41206550598
-317,-10,997,0,23624197,23718.366146087646
-317,-10,997,0,23649201,23743.388175964355
-317,-10,997,0,23674204,23768.386125564575
-317,-10,997,0,23699208,23793.41220855713
-317,-10,997,0,23724215,23818.379163742065
-317,-10,997,0,23749222,23843.403100967407
-317,-10,997,0,23774234,23868.34406852722
-317,-10,997,0,23799238,23893.416166305542
-317,-10,997,0,23824245,23918.403148651123
-317,-10,997,0,23849247,23943.348169326782
-317,-10,997,0,23874251,23968.384981155396
-317,-10,997,0,23899254,23993.46613883972
-317,-10,997,0,23924258,24018.37730407715
-317,-10,997,0,23949263,24043.4889793396
-317,-10,997,0,23974269,24068.381309509277
-317,-10,997,0,23999272,24093.371152877808
-317,-10,997,0,24024278,24118.37911605835
-317,-10,997,0,24049278,24143.396139144897
-317,-10,997,0,24074282,24168.397188186646
-317,-10,997,0,24099289,24193.397045135498
-317,-10,997,0,24124293,24218.369007110596
-317,-10,997,0,24149300,24243.404150009155
-317,-10,997,0,24174304,24268.41425895691
-317,-10,997,0,24199311,24293.423175811768
-317,-10,997,0,24224314,24318.367958068848
-317,-10,997,0,24249322,24343.38927268982
-317,-10,997,0,24274325,24368.39008331299
-317,-10,997,0,24299333,24393.419981002808
-317,-10,997,0,24324337,24418.382167816162
-317,-10,997,0,24349344,24443.440198898315
-317,-10,997,0,24374348,24468.356132507324
-317,-10,997,0,24399355,24493.46113204956
-317,-10,997,0,24424358,24518.39303970337
-317,-10,997,0,24449369,24543.403148651123
-317,-10,997,0,24474373,24568.39609146118
-317,-10,997,0,24499380,24593.488216400146
-317,-10,997,0,24524384,24618.402004241943
-317,-10,997,0,24549392,24643.41115951538
-317,-10,997,0,24574395,24668.410062789917
-317,-10,997,0,24599403,24693.433046340942
-317,-10,997,0,24624406,24718.50538253784
-317,-10,997,0,24649413,24743.41607093811
-317,-10,997,0,24674417,24768.444299697876
-317,-10,997,0,24699424,24793.549060821533
-317,-10,997,0,24724428,24818.47906112671
-317,-10,997,0,24749435,24843.385219573975
-317,-10,997,0,24774439,24868.378162384033
-317,-10,997,0,24799447,24893.423080444336
-317,-10,997,0,24824450,24918.44129562378
-317,-10,997,0,24849458,24943.251371383667
-317,-10,997,0,24874461,24968.229293823242
-317,-10,997,0,24899468,24993.31307411194
-317,-10,997,0,24924472,25018.31817626953
-317,-10,997,0,24949479,25043.310165405273
-317,-10,997,0,24974483,25068.310022354126
-317,-10,997,0,24999490,25093.339204788208
-317,-10,997,0,25024494,25118.41106414795
-317,-10,997,0,25049502,25143.47815513611
-317,-10,997,0,25074505,25168.48921775818
