time,theta,x_pivot,time_seconds,filtered_theta
3553,905,0.0,3.553,919.1865992450495
3561,905,0.0,3.561,910.4187987268353
3570,905,0.0,3.57,907.0697969354565
3577,946,0.0,3.577,931.1299856182796
3585,946,0.0,3.585,940.3201599193826
3593,946,0.0,3.593,943.830494139868
3601,881,0.0,3.601,904.9991132314785
3609,881,0.0,3.609,890.1668455545674
3618,881,0.0,3.618,884.5014234322239
3627,914,0.0,3.627,902.7325463708507
3635,914,0.0,3.635,909.6962156803284
3642,914,0.0,3.642,912.3561006701343
3652,864,0.0,3.652,882.4703868925798
3659,864,0.0,3.659,871.0550600076049
3666,864,0.0,3.666,866.694793130235
3676,864,0.0,3.676,865.0293193831001
3685,864,0.0,3.685,864.3931650190651
3693,864,0.0,3.693,864.1501756740954
3701,864,0.0,3.701,864.057362003221
3710,670,0.0,3.71,744.123316518088
3719,670,0.0,3.719,698.3125875510431
3729,345,0.0,3.729,479.9533997913255
3739,345,0.0,3.739,396.5476118229334
3750,345,0.0,3.75,364.68943567747465
3758,342,0.0,3.758,350.6665932432408
3766,342,0.0,3.766,345.3103440522478
3775,342,0.0,3.775,343.2644389135026
3783,158,0.0,3.783,228.76471875827934
3790,158,0.0,3.79,185.02971736133546
3799,158,0.0,3.799,168.32443332572703
3807,-121,0.0,3.807,-10.487900245375016
3815,-121,0.0,3.815,-78.78813406185216
3823,-121,0.0,3.823,-104.8765019401815
3833,-217,0.0,3.833,-174.17263467868221
3841,-217,0.0,3.841,-200.64140209586517
3849,-217,0.0,3.849,-210.75157160891328
3857,-217,0.0,3.857,-214.6133127308747
3866,162,0.0,3.866,18.14651515249932
3874,162,0.0,3.874,107.05285818837271
3883,162,0.0,3.883,141.01205941261884
3890,-676,0.0,3.89,-363.929162522928
3899,-676,0.0,3.899,-556.799546981403
3907,-676,0.0,3.907,-630.4694784212809
3916,-675,0.0,3.916,-657.99085429369
3923,-675,0.0,3.923,-668.5030844597889
3932,-675,0.0,3.932,-672.5183990856767
3941,-731,0.0,3.941,-708.6620161672354
3949,-731,0.0,3.949,-722.4676494160295
3956,-731,0.0,3.956,-727.7409320808533
3966,-1009,0.0,3.966,-901.5685956990011
3973,-1009,0.0,3.973,-967.9648550161501
3982,-1009,0.0,3.982,-993.3259693494491
3991,-906,0.0,3.991,-939.3555521909581
3999,-906,0.0,3.999,-918.740687223425
4007,-906,0.0,4.007,-910.8665094793168
4017,-945,0.0,4.017,-931.9621667757714
4024,-945,0.0,4.024,-940.0199908479973
4032,-945,0.0,4.032,-943.0978057682205
4041,-955,0.0,4.041,-950.4537663441632
4049,-955,0.0,4.049,-953.2634932642691
